from_station_id,to_station_id,count,from_station_addy,to_station_addy,from_station_lng,to_station_lng,from_station_lat,to_station_lat,polyline,distance,time
177,268,1494,Theater on the Lake,Lake Shore Dr & North Blvd,-87.630834,-87.626804,41.926277,41.911722,yu{~FrkzuOJfAD^NdB??~@[f@WpBkAdD_B`ASpOeDjHcA|AYbCi@rCu@zAe@vDuA|Ao@??hAU`Ae@bA[TGj@Ij@G??zAMnD]n@Il@SPI`@UvAq@@?,1.078,111
85,268,1387,Michigan Ave & Oak St,Lake Shore Dr & North Blvd,-87.62377664,-87.626804,41.90096039,41.911722,iwv~Fp_yuO?p@??@T??aBQo@G]@UDa@VUTUNKPc@FcDr@uA^}@Rk@DiCJg@DoALcAP_C^_ALmCb@}@NiEp@m@HyAL{BJ{A@cBFUJiAh@]NKF,0.794,110
268,85,1384,Lake Shore Dr & North Blvd,Michigan Ave & Oak St,-87.626804,-87.62377664,41.911722,41.90096039,y{x~FnqyuOJG\OhAi@TKbBGzAAzBKxAMl@IhEq@|@OlCc@~@M~B_@bAQnAMf@EhCKj@E|@StA_@bDs@b@GP?\GnA]REh@Al@B\BT????WAU???q@,0.796,117
153,115,1326,Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,-87.663576,-87.653566,41.935733,41.936253,_q}~Fxx`vO??W@cAB???yAGkKAgN?wBAyBEsFCqFAwBAyB?oA,0.554,145
43,192,1312,Michigan Ave & Washington St,Canal St & Adams St,-87.62464914,-87.639904,41.88389277,41.879255,ims~FddyuOL?pB?xDGf@An@A`@?h@?l@A`@?r@AlCAvBA??@pD@~CDhDDhC?V?`BBxE?`H@rA@l@BnDB|G?H@t@DhFBzCAzA?l@AP?^?N?Z@fF?Z@^@fEAr@,1.1,190
3,90,1311,Shedd Aquarium,Millennium Park,-87.61535539,-87.62408432,41.86722596,41.8810317,uap~F|cwuOFHDDL@NA|@UNCRE^GzBEX???B\@vB?fA?\Bd@?nD@tB?H?p@?z@?jB?tAA^@p@??w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HD??@r@?`@?zA?vB?`@?fA?N@lA?h@?d@?vB@\DtG@`C?rA?NDfD??kDDmADwB?mCAQAS?,1.876,299
26,35,1290,McClurg Ct & Illinois St,Streeter Dr & Illinois St,-87.6173,-87.6122,41.89102,41.891071,azt~FbwwuOC}BCgEAcB?s@?yBAaB?O?eAAmF,0.263,42
3,341,1277,Shedd Aquarium,Adler Planetarium,-87.61535539,-87.607267,41.86722596,41.866095,uap~F|cwuOFHDDL@NA|@UNCRE^GzBEX????_@O?I?kA?c@CYGIEQEGEGA???}@?o@?k@?e@?YIgN?W?OKmO,0.525,122
76,4,1271,Lake Shore Dr & Monroe St,Burnham Harbor,-87.616743,-87.613348,41.880958,41.856268,{zr~F~swuO@v@?\?t@??~NMxNK\?nBCrBGP@b@ClECfSKh@Bn@Hj@Pf@Vv@j@p@l@r@n@d@b@vAnANNRNTRx@j@RJh@Tj@L`AJb@@pAKjC]LChFs@zBc@nBc@pHoB??bAKf@KvA_@nD}@n@OxDy@^M??c@wBU}AGoC??\?j@OvOsD??Eg@Ei@Ie@Si@??\\LP??Ke@GQGKWS]IW@SFaAj@_@L??COGg@,2.162,307
268,177,1219,Lake Shore Dr & North Blvd,Theater on the Lake,-87.626804,-87.630834,41.911722,41.926277,y{x~FnqyuOA?wAp@a@T??Ys@W_@_@a@m@k@SMQCSS??KFo@Dc@Jc@ZuCbC}AdAWRq@h@u@\k@VsChAoDlAmEjA}Cn@{AVyDf@wAToPnD??kCHaA?oB?e@@w@J??B\,1.071,110
43,174,1194,Michigan Ave & Washington St,Canal St & Madison St,-87.62464914,-87.639833,41.88389277,41.882091,ims~FddyuOL?pB?xDGf@An@A`@?h@?l@A`@?r@AlCAvBA??@pD@~CDhDDhC?V?`BBxE?`H@rA@l@BnDB|G?H@t@DhFBzCAzA?l@AP?^?N?Z@fF?Z@^@fE??}B@eCBwB@Y@mB@i@?,1.279,213
90,3,1160,Millennium Park,Shedd Aquarium,-87.62408432,-87.61535539,41.8810317,41.86722596,m{r~FlbyuOUAS?sAG_@@o@?G?U?oEDcBDM@M@o@Dk@BWB??B[NU@O?U@{A?aA?_ALgB?wCAM?mC??l@?^AjCC~@?l@@vALf@Dd@Bt@@l@Ab@?ROZ?hA?Z?v@AdCExBCf@At@C|AA^?pAAT?n@A`CAvA?L?H?bBEvBC`@?h@?dAAbA?dA?~DAdA?rA?hDC|@Al@?rA?x@Ab@AZAH?L?X?j@?\ATLxACz@G\En@OhCk@vA[`AU??RSHE|A]JEJODa@?iAAq@@_@?uA?kB?{@?q@?IAuB?oDCe@?]?gAAwBC]?_@??O?I?kA?c@CYGIEQEGEGAUIWCO@??WDQHKLGNAV?PHP,2.194,389
4,150,1150,Burnham Harbor,Fort Dearborn Dr & 31st St,-87.613348,-87.608218,41.856268,41.838556,{`n~Fl~vuOFf@BN??g@Pc@He@FcADi@?e@HOF]ZYf@KFqAr@??Rn@FZJjAFnCT|Ab@vB??p@]TQ`DqBj@WjDmAjAq@hA]dD_Ax@UXIdI}CfBo@vWgI`MkDpI}BtFeBbEsA??dBQpBYt@K\Ez@M??`AKPEpASZI??A}@?q@C{@?U?E,1.761,205
76,85,1150,Lake Shore Dr & Monroe St,Michigan Ave & Oak St,-87.616743,-87.62377664,41.880958,41.90096039,{zr~F~swuO@v@?\??k@Ai@?k@CeAKKEYI_@U]WY[W[U]a@s@Oc@k@aCa@yAa@_AS[S[o@o@WSi@[KE[M]IaAGg@?m@BoDX_CTW@_AJY@yADG?G?}@BS?s@@G?_A@sA@eCI]Ei@AG?sA?K?}CFy@?a@@[Bq@DSBe@J_@N_Ah@}B|AiAr@gBhAcDjB}EtC??L\BV??cAp@gBfA}ChBGD[P_CvA_DdBoAt@g@XURMVEXAT@z@BbCLjO@L,1.778,187
150,4,1149,Fort Dearborn Dr & 31st St,Burnham Harbor,-87.608218,-87.613348,41.838556,41.856268,grj~Fh~uuOAmA??_@HWDaBVaARsA`@w@b@]RqAfAiAl@m@RsAd@}EdBoBl@qIvAaBTwIhAyBZeHjB_@JaBj@UJmAv@uBl@kCl@UHa@JuAj@yGrBwBh@E?K@SAMMK[Ke@GQGKWS]IW@SFaAj@_@L??COGg@,1.324,226
115,153,1127,Sheffield Ave & Wellington Ave,Southport Ave & Wellington Ave,-87.653566,-87.663576,41.936253,41.935733,ut}~Fvy~uO?nA@xB@vBBpFDrF@xB?vB@fNFjK?xA??bACVA??,0.554,148
255,90,1109,Indiana Ave & Roosevelt Rd,Millennium Park,-87.623041,-87.62408432,41.867888,41.8810317,qip~FhayuOe@AmAAS?[?e@?cA?W?_@?{ABo@?gA@sBB{@@mA?aB?k@?mB@qBB}@@mA@Q@{B@oBBMAuA@W?}B?UAG?S?{B@}A@kDDmADwB?mCAQAS?,0.905,173
